question,answer,correct_feedback,wrong_feedback,hint
"1 + 1 = ?","2","太棒了！答對了！","再試一次！","加法：1加1等於2。"
"2 + 3 = ?","5","很好！正確答案！","加油！再想想。","加法：2加3等於5。"
"4 + 5 = ?","9","答對了！繼續努力！","不對喔，再試試。","加法：4加5等於9。"
"3 + 6 = ?","9","太厲害了！","差一點，再算算。","加法：3加6等於9。"
"7 + 2 = ?","9","正確！","錯了，提示：7加2。","加法：7加2等於9。"
"5 + 4 = ?","9","很好！","再試一次！","加法：5加4等於9。"
"6 + 3 = ?","9","答對了！","不對，再想想。","加法：6加3等於9。"
"8 + 1 = ?","9","太棒了！","加油！","加法：8加1等於9。"
"2 + 7 = ?","9","正確！","錯了。","加法：2加7等於9。"
"4 + 4 = ?","8","很好！","再試試。","加法：4加4等於8。"